Course,Quarter,Percentage Recommended Professor,Study Hours per Week,Average Grade Received
COGS 1 - Introduction to Cognitive Sci (A),SP23,99.4%,3.37,B+ (3.53)
COGS 100 - Cyborgs Now and in the Future (A),SP23,87.0%,2.52,A- (3.96)
COGS 101A - Sensation and Perception (A),SP23,88.7%,4.03,B (3.13)
COGS 101B - Learning Memory and Attention (A),SP23,98.9%,4.01,B+ (3.56)
COGS 107A - Neuroanatomy and Physiology (A),SP23,93.4%,5.73,B (3.29)
COGS 107C - Cognitive Neuroscience (A),SP23,95.9%,3.96,A- (3.74)
COGS 108 - Data Science in Practice (A),SP23,96.4%,5.11,A- (3.78)
COGS 109 - Modeling & Data Analysis (A),SP23,87.8%,6.36,B+ (3.35)
COGS 112 - Humor (A),SP23,100.0%,3.05,A- (3.81)
COGS 118A - Supvr/Mach Learning Algorithms (A),SP23,73.3%,7.32,B (3.19)
COGS 12 - Language Culture & Cognition (B),SP23,77.8%,3.61,B (3.28)
COGS 121 - HCI Portfolio Design Studio (A),SP23,96.4%,5.04,A- (3.72)
COGS 122 - Startup Studio (A),SP23,96.0%,7.14,B+ (3.66)
COGS 125 - Advanced Interaction Design (A),SP23,33.3%,1.17,B+ (3.52)
COGS 13 - Fld Methods: Cognition in Wild (A),SP23,98.6%,3.68,B+ (3.65)
COGS 138 - Neural Data Science (A),SP23,55.6%,3.5,A (4.00)
COGS 142 - Animal Communication (A),SP23,100.0%,2.79,A- (3.75)
COGS 144 - Social Cognition (A),SP23,92.9%,2.79,B+ (3.36)
COGS 14A - Intro. to Research Methods (A),SP23,99.0%,3.71,B+ (3.60)
COGS 14B - Intro. to Statistical Analysis (A),SP23,95.3%,3.25,A- (3.76)
COGS 155 - Gesture and Cognition (A),SP23,100.0%,3.39,B+ (3.43)
COGS 164 - Neurobiology of Motivation (A),SP23,91.2%,3.95,A- (3.94)
COGS 17 - Neurobiology of Cognition (A),SP23,94.7%,4.73,B+ (3.42)
COGS 170 - Brain Waves Across Scales (A),SP23,95.0%,5.13,B+ (3.58)
COGS 18 - Introduction to Python (A),SP23,98.6%,5.72,B+ (3.53)
COGS 184 - Modeling/Evolution of Cognitn (A),SP23,88.9%,6.5,B (3.09)
COGS 185 - Adv. Machine Learning Methods (A),SP23,82.6%,5.46,A- (3.81)
COGS 8 - Hands-On Computing (A),SP23,100.0%,3.23,B+ (3.35)
COGS 9 - Introduction to Data Science (A),SP23,97.5%,3.39,B+ (3.68)
COGS 1 - Introduction to Cognitive Sci (A),WI23,99.5%,2.52,A- (3.76)
COGS 100 - Cyborgs Now and in the Future (A),WI23,53.7%,3.51,A- (3.98)
COGS 101A - Sensation and Perception (A),WI23,100.0%,4.18,B+ (3.54)
COGS 101B - Learning Memory and Attention (A),WI23,97.1%,4.0,B+ (3.45)
COGS 101C - Language (A),WI23,100.0%,3.46,B+ (3.55)
COGS 107A - Neuroanatomy and Physiology (A),WI23,85.9%,6.77,B+ (3.56)
COGS 107B - Systems Neuroscience (A),WI23,83.8%,5.1,B+ (3.65)
COGS 108 - Data Science in Practice (A),WI23,52.3%,4.51,A- (3.87)
COGS 111 - Beauty and the Brain (A),WI23,100.0%,3.63,B+ (3.60)
COGS 115 - Neurologcl Devlp & Cogntv Chng (A),WI23,91.7%,5.23,B (3.22)
COGS 118A - Supvr/Mach Learning Algorithms (A),WI23,84.6%,7.91,B+ (3.34)
COGS 118C - Neural Signal Processing (A),WI23,82.1%,8.79,B+ (3.47)
COGS 123 - Social Computing (A),WI23,91.2%,5.43,B+ (3.65)
COGS 124 - HCI Technical Systems Research (A),WI23,100.0%,3.75,B+ (3.67)
COGS 127 - Data-Driven UX/Product Design (A),WI23,97.6%,5.71,A- (3.89)
COGS 13 - Fld Methods: Cognition in Wild (A),WI23,82.9%,5.01,B (3.22)
COGS 137 - Practical Data Science in R (A),WI23,100.0%,7.46,B+ (3.65)
COGS 14A - Intro. to Research Methods (A),WI23,27.4%,4.88,C- (1.98)
COGS 14B - Intro. to Statistical Analysis (A),WI23,98.8%,4.35,B (3.26)
COGS 156 - Language Development (A),WI23,91.7%,4.25,B- (2.71)
COGS 163 - Metabolic Disorders/Brain (A),WI23,97.1%,3.99,A- (3.91)
COGS 165 - Neuroimaging of Cognition (A),WI23,96.8%,5.15,A- (3.87)
COGS 17 - Neurobiology of Cognition (A),WI23,96.6%,4.83,B+ (3.48)
COGS 172 - Brain Disorders and Cognition (A),WI23,98.9%,4.72,B+ (3.32)
COGS 18 - Introduction to Python (A),WI23,86.2%,6.14,B+ (3.40)
COGS 181 - Neural Networks/Deep Learning (A),WI23,95.0%,7.15,B+ (3.58)
COGS 187B - Practicum in Pro Web Design (A),WI23,80.8%,7.31,B+ (3.64)
COGS 189 - Brain Computer Interfaces (A),WI23,96.2%,5.19,A- (3.74)
COGS 9 - Introduction to Data Science (A),WI23,96.8%,3.2,A- (3.78)
COGS 1 - Introduction to Cognitive Sci (A),FA22,97.6%,3.24,B+ (3.55)
COGS 10 - Cognitv Consequence/Technology (A),FA22,67.0%,3.88,B+ (3.34)
COGS 100 - Cyborgs Now and in the Future (A),FA22,65.2%,4.46,B (3.26)
COGS 101A - Sensation and Perception (A),FA22,95.2%,4.35,B+ (3.42)
COGS 101B - Learning Memory and Attention (A),FA22,100.0%,4.12,B+ (3.70)
COGS 101C - Language (A),FA22,96.2%,4.12,B+ (3.31)
COGS 107A - Neuroanatomy and Physiology (A),FA22,88.7%,6.33,B+ (3.35)
COGS 108 - Data Science in Practice (A),FA22,94.4%,5.81,A- (3.87)
COGS 11 - Minds & Brains (A),FA22,100.0%,3.78,A- (3.81)
COGS 110 - The Developing Mind (A),FA22,83.3%,5.55,B (3.16)
COGS 116 - Developmental Cog Neuroscience (A),FA22,97.8%,4.05,B (3.29)
COGS 118B - Intro to Machine Learning (A),FA22,87.8%,7.83,A- (3.75)
COGS 120 - Interaction Design (A),FA22,84.9%,4.5,B+ (3.60)
COGS 143 - Animal Cognition (A),FA22,86.7%,6.63,B (3.12)
COGS 14A - Intro. to Research Methods (A),FA22,87.3%,4.0,B (3.12)
COGS 14B - Intro. to Statistical Analysis (A),FA22,97.8%,4.74,B+ (3.67)
COGS 15 - Uncensored Intro. to Language (A),FA22,100.0%,2.68,B+ (3.39)
COGS 17 - Neurobiology of Cognition (A),FA22,93.3%,4.91,B+ (3.42)
COGS 18 - Introduction to Python (A),FA22,94.5%,5.49,B+ (3.43)
COGS 187A - Usability & Info. Architecture (A),FA22,68.8%,4.42,A- (3.79)
COGS 2 - Cognitive NeuroEconomics (A),FA22,96.1%,2.35,A- (3.90)
COGS 3 - Introduction to Computing (A),FA22,91.4%,5.73,B+ (3.57)
COGS 9 - Introduction to Data Science (A),FA22,98.1%,3.54,A- (3.80)
